m_t_3,jts3,v3,q3,acceleration
-0.08774,20.502276021141,30.42,32.56622314453125,0.0
-0.08132,20.858416157859747,29.706,33.54949951171875,-142.68585131894503
-0.08132,20.858416157859747,29.706,33.54949951171875,0.0
-0.08988,20.578981953758184,30.042,34.50599670410156,69.2640692640674
-0.08988,20.578981953758184,30.042,34.50599670410156,0.0
-0.09095,21.69121034731287,30.012,35.49407958984375,-5.982053838484783
-0.09095,21.69121034731287,30.012,35.49407958984375,0.0
-0.09416,22.11310060610193,30.012,36.48628234863281,0.0
-0.11235,23.833513814109747,30.288,37.472991943359375,55.16689986008536
-0.11235,23.833513814109747,30.288,37.472991943359375,0.0
-0.11021,23.428057271141,29.628,38.41712951660156,-130.8744794765045
-0.11021,23.428057271141,29.628,38.41712951660156,0.0
-0.11128,24.50741823305506,30.096000000000004,39.37568664550781,92.18042150876576
-0.11128,24.50741823305506,30.096000000000004,39.37568664550781,0.0
-0.107,23.88829286684412,30.504,40.35415649414063,82.02653799758643
-0.107,23.88829286684412,30.504,40.35415649414063,0.0
-0.12626,25.33474977602381,31.134,41.348419189453125,125.87412587413311
-0.12626,25.33474977602381,31.134,41.348419189453125,0.0
-0.12733,25.42241151918787,30.528,42.34954833984375,-120.11892963330143
-0.12733,25.42241151918787,30.528,42.34954833984375,0.0
-0.13161,26.44699342836756,30.066,43.330078125,-92.69662921347712
-0.13161,26.44699342836756,30.066,43.330078125,0.0
-0.12412,26.56204469789881,30.312,44.30992126464844,49.17049770138091
-0.12412,26.56204469789881,30.312,44.30992126464844,0.0
-0.14445,26.34288271059412,30.504,45.226593017578125,35.20997615991102
-0.14445,26.34288271059412,30.504,45.226593017578125,0.0
-0.13054,27.16473634828944,30.804,46.19956970214844,63.34459459459598
-0.13054,27.16473634828944,30.804,46.19956970214844,0.0
-0.1391,27.34555299868006,29.796000000000003,47.208251953125,-199.8017839445
-0.1391,27.34555299868006,29.796000000000003,47.208251953125,0.0
-0.15408,28.87419374575037,30.696,48.20457458496094,179.64071856287543
-0.15408,28.87419374575037,30.696,48.20457458496094,0.0
-0.15194,28.87419374575037,30.228,49.17961120605469,-92.9308975377276
