m_t_2,jts2,v2,q2,acceleration
-0.0366,30.12025692858833,29.706,18.78490447998047,0.0
-0.12261,34.422991303588326,30.348,19.77916717529297,130.6471306471342
-0.12261,34.422991303588326,30.348,19.77916717529297,0.0
-0.10431,38.389544037963326,30.0,20.742530822753903,-64.1002026155839
-0.10431,38.389544037963326,30.0,20.742530822753903,0.0
-0.14091,39.129045991088326,30.348,21.67980194091797,67.96874999999962
-0.14091,39.129045991088326,30.348,21.67980194091797,0.0
-0.13725,41.616594819213326,30.114,22.650375366210938,-46.71591135955207
-0.13725,41.616594819213326,30.114,22.650375366210938,0.0
-0.1647,39.397844819213326,30.234,23.636398315429688,23.300970873786657
-0.1647,39.397844819213326,30.234,23.636398315429688,0.0
-0.15372,45.314104584838326,30.354,24.587745666503903,23.05032654629205
-0.15372,45.314104584838326,30.354,24.587745666503903,0.0
-0.20313,42.759417084838326,30.21,25.557632446289062,-29.605263157894523
-0.20313,42.759417084838326,30.21,25.557632446289062,0.0
-0.20862,48.742815522338326,30.486,26.53369903564453,54.66428995840909
-0.20862,48.742815522338326,30.486,26.53369903564453,0.0
-0.20496,46.994768647338326,30.102,27.502899169921875,-72.24835371589903
-0.20496,46.994768647338326,30.102,27.502899169921875,0.0
-0.23424,51.767962006713326,30.36,28.4930419921875,51.10935023771832
-0.23424,51.767962006713326,30.36,28.4930419921875,0.0
-0.20862,48.742815522338326,30.024,29.462242126464844,-66.52148089487311
-0.20862,48.742815522338326,30.024,29.462242126464844,0.0
-0.25986,53.381487397338326,30.605999999999995,30.440025329589844,109.79060554612217
-0.25986,53.381487397338326,30.605999999999995,30.440025329589844,0.0
-0.23058,53.650530366088326,29.952,31.41883850097656,-132.6034063260343
-0.23058,53.650530366088326,29.952,31.41883850097656,0.0
-0.30012,56.675676850463326,30.486,32.384605407714844,110.67357512953672
-0.30012,56.675676850463326,30.486,32.384605407714844,0.0
-0.26169,57.751360444213326,30.288,33.39397430419922,-39.75903614457852
-0.26169,57.751360444213326,30.288,33.39397430419922,0.0
-0.30012,58.423723725463326,30.306,34.34120178222656,3.668976763147248
-0.30012,58.423723725463326,30.306,34.34120178222656,0.0
-0.29646,61.852434662963326,30.27,35.32413482666016,-7.056056448451938
-0.29646,61.852434662963326,30.27,35.32413482666016,0.0
-0.34404,59.701067475463326,30.462000000000003,36.30157470703125,38.224168823413045
-0.34404,59.701067475463326,30.462000000000003,36.30157470703125,0.0
-0.32208,65.61732724108833,30.384,37.2817611694336,-15.637530072173831
-0.32208,65.61732724108833,30.384,37.2817611694336,0.0
-0.34038,63.196917084838326,30.156,38.260231018066406,-46.125834513452354
-0.34038,63.196917084838326,30.156,38.260231018066406,0.0
-0.366,68.17201474108833,30.51,39.21810150146485,65.95863610955743
-0.366,68.17201474108833,30.51,39.21810150146485,0.0
-0.33672,65.28114560046333,30.06,40.19279479980469,-89.4632206759433
-0.33672,65.28114560046333,30.06,40.19279479980469,0.0
-0.38247,69.18031552233833,30.48,41.15375518798828,84.13461538461391
-0.38247,69.18031552233833,30.48,41.15375518798828,0.0
-0.366,68.10463192858833,30.132000000000005,42.10372924804688,-69.78143172247958
-0.366,68.10463192858833,30.132000000000005,42.10372924804688,0.0
