m_t_3,jts3,v3,q3,velocity
-0.08132,20.858416157859747,29.706,33.54949951171875,0.0
-0.08988,20.578981953758184,30.042,34.50599670410156,197.1752612621688
-0.08988,20.578981953758184,30.042,34.50599670410156,0.0
-0.09095,21.69121034731287,30.012,35.49407958984375,197.02550064649836
-0.09095,21.69121034731287,30.012,35.49407958984375,0.0
-0.09416,22.11310060610193,30.012,36.48628234863281,198.36120727490447
-0.09416,22.11310060610193,30.012,36.48628234863281,0.0
-0.11235,23.833513814109747,30.288,37.472991943359375,197.22358479444105
-0.11235,23.833513814109747,30.288,37.472991943359375,0.0
-0.11021,23.428057271141,29.628,38.41712951660156,187.2174446246688
-0.11021,23.428057271141,29.628,38.41712951660156,0.0
-0.11128,24.50741823305506,30.096000000000004,39.37568664550781,188.8038465444653
-0.11128,24.50741823305506,30.096000000000004,39.37568664550781,0.0
-0.107,23.88829286684412,30.504,40.35415649414063,196.7168975940517
-0.107,23.88829286684412,30.504,40.35415649414063,0.0
-0.12626,25.33474977602381,31.134,41.348419189453125,198.653885177333
-0.12626,25.33474977602381,31.134,41.348419189453125,0.0
-0.12733,25.42241151918787,30.528,42.34954833984375,198.4398712369934
-0.12733,25.42241151918787,30.528,42.34954833984375,0.0
-0.13161,26.44699342836756,30.066,43.330078125,196.7355106653665
-0.13161,26.44699342836756,30.066,43.330078125,0.0
-0.12412,26.56204469789881,30.312,44.30992126464844,195.85111725933703
-0.12412,26.56204469789881,30.312,44.30992126464844,0.0
-0.14445,26.34288271059412,30.504,45.226593017578125,168.1041175370735
-0.14445,26.34288271059412,30.504,45.226593017578125,0.0
-0.13054,27.16473634828944,30.804,46.19956970214844,205.4427121136704
-0.13054,27.16473634828944,30.804,46.19956970214844,0.0
-0.1391,27.34555299868006,29.796000000000003,47.208251953125,199.93701704193643
-0.1391,27.34555299868006,29.796000000000003,47.208251953125,0.0
-0.15408,28.87419374575037,30.696,48.20457458496094,198.8667927816259
-0.15408,28.87419374575037,30.696,48.20457458496094,0.0
-0.15194,28.87419374575037,30.228,49.17961120605469,193.6133083982808
-0.15194,28.49066408266444,30.228,49.17961120605469,0.0
-0.15729,29.685076314109747,30.396,50.18211364746094,199.3046603193304
-0.15729,29.685076314109747,30.396,50.18211364746094,0.0
-0.14659,29.685076314109747,30.09,51.15165710449219,173.00918219687009
-0.14659,29.00567873110193,30.09,51.15165710449219,0.0
-0.16264,30.34256227602381,30.858,52.12532043457031,201.75369458726183
-0.16264,30.34256227602381,30.858,52.12532043457031,0.0
-0.16478,30.07408388246912,30.174000000000003,53.1134033203125,198.76943989984545
-0.16478,30.07408388246912,30.174000000000003,53.1134033203125,0.0
-0.17655,31.383562642234747,31.188,54.073333740234375,192.6024117018256
-0.17655,31.383562642234747,31.188,54.073333740234375,0.0
-0.16157,31.04387148012537,30.234,55.020904541015625,190.8116795773752
-0.16157,31.04387148012537,30.234,55.020904541015625,0.0
-0.18297,31.37260683168787,30.450000000000003,55.97465515136719,191.9401510065531
-0.18297,31.37260683168787,30.450000000000003,55.97465515136719,0.0
-0.1712,31.646563130516,30.006,56.93527221679688,192.5084299458201
-0.1712,31.646563130516,30.006,56.93527221679688,0.0
-0.16799,31.75065858950037,29.652,57.900009155273445,191.26426218804733
-0.16799,31.75065858950037,29.652,57.900009155273445,0.0
-0.18511,32.72592409243006,29.76,58.88877868652343,204.88386474305565
-0.18511,32.72592409243006,29.76,58.88877868652343,0.0
-0.18511,32.60537965883631,30.372,59.85282897949219,192.9258140822039
-0.18511,32.60537965883631,30.372,59.85282897949219,0.0
-0.18618,33.54229982485194,29.658,60.81207275390625,192.54190574348743
-0.18618,33.54229982485194,29.658,60.81207275390625,0.0
-0.18083,33.120409566062875,30.144,61.78916931152343,194.5244988288235
-0.18083,33.120409566062875,30.144,61.78916931152343,0.0
-0.18832,34.232653218406625,30.558,62.71888732910156,188.39270872909967
-0.18832,34.232653218406625,30.558,62.71888732910156,0.0
-0.18725,33.32313783754725,29.736,63.68911743164063,198.6141458626448
-0.18725,33.32313783754725,29.736,63.68911743164063,0.0
-0.18404,35.059984761375375,30.99,64.69230651855469,197.67272648553916
-0.18404,35.059984761375375,30.99,64.69230651855469,0.0
-0.20116,34.26004274477381,29.814,65.65155029296875,190.4773181918298
-0.20116,34.26004274477381,29.814,65.65155029296875,0.0
-0.20437,35.481859761375375,30.450000000000003,66.59843444824219,190.82711714499283
-0.20437,35.481859761375375,30.450000000000003,66.59843444824219,0.0
-0.1926,34.94491823305506,29.928,67.57347106933594,197.25604311019185
-0.1926,34.94491823305506,29.928,67.57347106933594,0.0
-0.2033,35.837999898094125,30.042,68.53134155273438,197.37697988841583
-0.2033,35.837999898094125,30.042,68.53134155273438,0.0
-0.20223,35.268175679344125,30.174000000000003,69.4940185546875,192.41994842156004
-0.20223,35.268175679344125,30.174000000000003,69.4940185546875,0.0
-0.21186,36.05716188539881,30.174000000000003,70.47248840332031,197.95060664228777
-0.21186,36.05716188539881,30.174000000000003,70.47248840332031,0.0
-0.2033,35.8927789508285,29.982,71.43035888671875,196.8496677760941
-0.2033,35.8927789508285,29.982,71.43035888671875,0.0
-0.21079,36.06811769594569,30.288,72.40196228027344,193.89411166528728
-0.21079,36.06811769594569,30.288,72.40196228027344,0.0
-0.20972,36.56669862856288,30.48,73.39553833007812,193.0773513028978
-0.20972,36.56669862856288,30.48,73.39553833007812,0.0
-0.2033,35.91470583071131,29.844000000000005,74.33692932128906,192.2383073740879
-0.2033,35.91470583071131,29.844000000000005,74.33692932128906,0.0
-0.2033,37.14747865785975,30.096000000000004,75.34561157226562,204.9750560814005
-0.2033,37.14747865785975,30.096000000000004,75.34561157226562,0.0
-0.20651,36.53383119692225,29.982,76.343994140625,201.8157607356717
-0.20651,36.53383119692225,29.982,76.343994140625,0.0
-0.21721,37.72824342836756,30.366,77.27645874023438,190.72706066870637
-0.21721,37.72824342836756,30.366,77.27645874023438,0.0
-0.20972,36.7475152789535,30.066,78.29681396484375,212.57400512695688
-0.20972,36.7475152789535,30.066,78.29681396484375,0.0
-0.2247,38.39120729555506,29.844000000000005,79.25880432128906,186.975773847479
-0.2247,38.39120729555506,29.844000000000005,79.25880432128906,0.0
-0.21614,36.80777223696131,30.450000000000003,80.23384094238281,192.8855828078623
-0.21614,36.80777223696131,30.450000000000003,80.23384094238281,0.0
-0.21828,38.11178835024256,30.834,81.20269775390625,193.1917869438477
-0.21828,38.11178835024256,30.834,81.20269775390625,0.0
-0.21614,37.33375795473475,29.682,82.17361450195312,192.64221191405656
-0.21614,37.33375795473475,29.682,82.17361450195312,0.0
-0.22042,37.936449605125375,30.066,83.18504333496094,191.7037211917824
-0.22042,37.936449605125375,30.066,83.18504333496094,0.0
-0.22898,38.035082417625375,29.244000000000003,84.13330078125,186.4079902278619
-0.22898,38.035082417625375,29.244000000000003,84.13330078125,0.0
-0.23219,38.1610894977035,28.638,85.12138366699219,197.97292841959404
-0.23219,38.1610894977035,28.638,85.12138366699219,0.0
-0.22577,38.56653078188319,27.948,86.05247497558594,176.10957227042607
-0.22577,38.56653078188319,27.948,86.05247497558594,0.0
-0.23112,38.08438356508631,27.042,86.97257995605469,182.1268765773436
-0.23112,38.08438356508631,27.042,86.97257995605469,0.0
-0.23326,38.08438356508631,26.718,87.83981323242188,168.98543966624405
-0.23326,38.84596498598475,26.718,87.83981323242188,0.0
-0.23326,37.68442018618006,25.698,88.71391296386719,174.12345247914507
-0.23326,37.68442018618006,25.698,88.71391296386719,0.0
-0.23968,37.68442018618006,24.852,89.53651428222656,144.49346888448665
-0.23968,39.11992128481288,24.852,89.53651428222656,0.0
-0.2461,39.18567140688319,24.276,90.31723022460938,153.8659720896352
-0.2461,39.18567140688319,24.276,90.31723022460938,0.0
-0.2354,38.56653078188319,22.788,91.07460021972656,154.03091216538792
-0.2354,38.56653078188319,22.788,91.07460021972656,0.0
-0.24717,40.051348286766,23.088,91.78459167480467,138.75150578036667
-0.24717,40.051348286766,23.088,91.78459167480467,0.0
-0.22791,40.051348286766,20.814,92.46986389160156,141.20589672302873
-0.22791,37.63510377993006,20.814,92.46986389160156,0.0
-0.24931,39.88150270571131,20.376,93.16818237304688,140.90364839493907
-0.24931,39.88150270571131,20.376,93.16818237304688,0.0
-0.23219,37.936449605125375,18.888,93.7786102294922,116.07299038702487
-0.23219,37.936449605125375,18.888,93.7786102294922,0.0
-0.24824,38.54461916078944,18.558,94.39590454101562,121.68230071424868
-0.24824,38.54461916078944,18.558,94.39590454101562,0.0
-0.24931,40.01298769106288,17.214000000000002,95.00015258789062,120.12883635686732
-0.24931,40.01298769106288,17.214000000000002,95.00015258789062,0.0
-0.24182,38.56653078188319,16.392,95.537109375,104.1421231787008
-0.24182,38.56653078188319,16.392,95.537109375,0.0
-0.25038,38.56653078188319,15.264,96.06170654296876,103.65484449096346
-0.25038,38.61036928285975,15.264,96.06170654296876,0.0
-0.2568,38.73639162172694,13.728,96.54991149902344,99.32959431427732
-0.2568,38.73639162172694,13.728,96.54991149902344,0.0
-0.22898,38.52270753969569,12.738,96.98524475097656,85.81376935800772
-0.22898,38.52270753969569,12.738,96.98524475097656,0.0
-0.23968,38.31450136293788,11.724,97.39036560058594,80.57296133839023
-0.23968,38.31450136293788,11.724,97.39036560058594,0.0
-0.25466,38.4953180133285,11.586,97.78106689453124,81.9939756443454
-0.25466,38.4953180133285,11.586,97.78106689453124,0.0
-0.26429,38.82953127016444,10.902,98.1353759765625,69.55419749336919
-0.26429,38.82953127016444,10.902,98.1353759765625,0.0
-0.25573,38.714464741844125,9.636,98.45260620117188,61.72995224934587
-0.25573,38.714464741844125,9.636,98.45260620117188,0.0
-0.25038,39.06512697328944,8.154,98.73756408691406,55.26723928281913
-0.25038,39.06512697328944,8.154,98.73756408691406,0.0
-0.24931,37.99672182192225,7.086,98.9875030517578,49.838278134342005
-0.24931,37.99672182192225,7.086,98.9875030517578,0.0
-0.2600099999999999,37.76660402407069,6.834,99.2168426513672,42.87522894174816
-0.2600099999999999,37.76660402407069,6.834,99.2168426513672,0.0
-0.26643,38.64872987856288,5.489999999999999,99.41940307617188,39.23308634605648
-0.26643,38.64872987856288,5.489999999999999,99.41940307617188,0.0
-0.27071,39.14731081118006,4.338,99.58763122558594,33.12229758103038
-0.27071,39.14731081118006,4.338,99.58763122558594,0.0
-0.26322,38.19945009340663,3.018,99.7174072265625,24.84226664942221
-0.26322,38.19945009340663,3.018,99.7174072265625,0.0
-0.2675,37.64605959047694,2.826,99.80255126953124,16.11355847250711
